,ID,Q_0,gamma_short,gamma_long,epsilon_short,epsilon_long,beta_long,beta_short
188,255.0,6.6632785920001405,3.3952748111300975e-08,0.01587744545580195,1.2491620156491097e-08,1.2388997142252035e-08,1.0,1.0
189,256.0,5.721314598837646,1.5714989356806953e-08,1.6686434278228377,1.0635924479030885e-08,0.09432592961007302,1.0,1.0
190,259.0,5.788014214564393,2.958160864972551e-08,0.650428260873542,0.020360870944936167,1.3389751364731889e-08,1.0,1.0
191,260.0,7.135902173778799,3.3443569871186935e-08,1.8268184990942207,3.516980189871579e-08,0.037129507643028845,1.0,1.0
192,261.0,6.337804951704075,6.905414819353996e-08,0.7586976232721178,1.2993735396583404e-08,0.016445704247517574,1.0,1.0
194,263.0,5.604551324665618,9.122351418096342e-08,0.24159946683239847,2.5089602147256103e-08,0.0205131014032705,1.0,1.0
195,264.0,6.22812956918927,1.0911912214738756e-07,0.5487439224319018,0.013065823795994698,0.00042918173409908566,1.0,1.0
196,265.0,4.444403018553609,1.5460499684562768e-08,1.4471838782036228e-07,1.099864486198476e-08,0.060523571744800955,1.0,1.0
197,268.0,7.20555453331353,7.724574023503089e-08,2.5218806902426136,2.839655877207629e-08,0.041355284760748325,1.0,1.0
198,269.0,7.430140795690391,1.1870707326346276e-07,2.1064469166553934,0.029875329518284827,0.02821391566522123,1.0,1.0
199,270.0,7.241783851416246,2.9703307674432956e-07,0.136963932872092,0.09398241574387864,0.12362291929360382,1.0,1.0
200,272.0,4.369702098529419,3.0331995936229346e-08,0.7320352402657737,0.009872436955672512,0.09523388181104002,1.0,1.0
201,273.0,6.943513135914879,1.553309062625886e-08,1.8512457259267356,1.0517158522415179e-08,0.032628569726286645,1.0,1.0
202,274.0,7.120141638664938,1.08598354129229e-07,2.337112673600764,1.7831048227313108e-08,1.726788702539457e-08,1.0,1.0
203,276.0,7.027775127601303,1.7594240572207803e-07,0.1347020059099033,1.6952106224115494e-08,2.533976334952998e-08,1.0,1.0
204,277.0,5.768032897551092,1.1205376352473712e-07,1.3555269375549894,2.357012088160294e-08,2.7772203025165432e-08,1.0,1.0
206,279.0,6.5532979486795035,1.8864091551532702e-07,1.0895356027198821,2.1650070805747616e-08,4.431947016707744e-08,1.0,1.0
207,280.0,6.058547206357278,6.591210349810368e-08,0.4763842889065966,1.8192566257708418e-08,9.159705809424694e-08,1.0,1.0
208,281.0,7.131723843059892,1.5890143810330173e-07,1.1165072084444436,0.0035310188589981785,2.1733635530933e-08,1.0,1.0
209,282.0,6.04983305001573,0.705435920853639,7.767142461150751e-07,0.4377407750840177,0.4999999876810475,1.0,1.0
210,283.0,7.930338903036193,4.97560157533091e-08,0.42388434004532666,0.16358998333877445,0.0244024459983536,1.0,1.0
212,285.0,3.357280421492415,1.0574255210772335e-07,0.4127618062715292,0.17081912603654573,0.1409230888689254,1.0,1.0
